# Renewables.ninja Wind power (Point API) - 55.000, 13.000 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Etc/GMT-1, electricity in kW
# {"units": {"time": "UTC", "local_time": "Etc/GMT-1", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "55", "lon": "13", "date_from": "2023-01-01", "date_to": "2023-12-31", "dataset": "merra2", "capacity": "605000", "height": "107", "turbine": "Siemens Gamesa SG 8.5-167", "raw": false}}
time,local_time,electricity
2023-01-01 00:00,2023-01-01 01:00,588673.124
2023-01-01 01:00,2023-01-01 02:00,593676.337
2023-01-01 02:00,2023-01-01 03:00,597615.869
2023-01-01 03:00,2023-01-01 04:00,597371.920
2023-01-01 04:00,2023-01-01 05:00,595924.948
2023-01-01 05:00,2023-01-01 06:00,597883.328
2023-01-01 06:00,2023-01-01 07:00,597943.693
2023-01-01 07:00,2023-01-01 08:00,597954.009
2023-01-01 08:00,2023-01-01 09:00,597725.770
2023-01-01 09:00,2023-01-01 10:00,596991.114
2023-01-01 10:00,2023-01-01 11:00,596791.323
2023-01-01 11:00,2023-01-01 12:00,596540.065
2023-01-01 12:00,2023-01-01 13:00,591367.254
2023-01-01 13:00,2023-01-01 14:00,585954.822
2023-01-01 14:00,2023-01-01 15:00,579933.723
2023-01-01 15:00,2023-01-01 16:00,569364.242
2023-01-01 16:00,2023-01-01 17:00,548703.269
2023-01-01 17:00,2023-01-01 18:00,513595.215
2023-01-01 18:00,2023-01-01 19:00,480392.682
2023-01-01 19:00,2023-01-01 20:00,454315.817
2023-01-01 20:00,2023-01-01 21:00,442804.954
2023-01-01 21:00,2023-01-01 22:00,454919.736
2023-01-01 22:00,2023-01-01 23:00,471751.018
2023-01-01 23:00,2023-01-02 00:00,472270.191
2023-01-02 00:00,2023-01-02 01:00,446157.991
2023-01-02 01:00,2023-01-02 02:00,413555.064
2023-01-02 02:00,2023-01-02 03:00,378646.876
2023-01-02 03:00,2023-01-02 04:00,307247.595
2023-01-02 04:00,2023-01-02 05:00,299355.192
2023-01-02 05:00,2023-01-02 06:00,373452.049
2023-01-02 06:00,2023-01-02 07:00,397295.072
2023-01-02 07:00,2023-01-02 08:00,385918.061
2023-01-02 08:00,2023-01-02 09:00,513752.568
2023-01-02 09:00,2023-01-02 10:00,563110.619
2023-01-02 10:00,2023-01-02 11:00,560433.458
2023-01-02 11:00,2023-01-02 12:00,544808.785
2023-01-02 12:00,2023-01-02 13:00,529404.916
2023-01-02 13:00,2023-01-02 14:00,512980.709
2023-01-02 14:00,2023-01-02 15:00,504294.644
2023-01-02 15:00,2023-01-02 16:00,509444.361
2023-01-02 16:00,2023-01-02 17:00,526305.706
2023-01-02 17:00,2023-01-02 18:00,537834.321
2023-01-02 18:00,2023-01-02 19:00,533330.490
2023-01-02 19:00,2023-01-02 20:00,528046.703
2023-01-02 20:00,2023-01-02 21:00,507754.114
2023-01-02 21:00,2023-01-02 22:00,506425.376
2023-01-02 22:00,2023-01-02 23:00,536281.295
2023-01-02 23:00,2023-01-03 00:00,553936.111
2023-01-03 00:00,2023-01-03 01:00,563899.983
2023-01-03 01:00,2023-01-03 02:00,571294.755
2023-01-03 02:00,2023-01-03 03:00,576185.841
2023-01-03 03:00,2023-01-03 04:00,571843.376
2023-01-03 04:00,2023-01-03 05:00,558410.558
2023-01-03 05:00,2023-01-03 06:00,533338.075
2023-01-03 06:00,2023-01-03 07:00,517248.168
2023-01-03 07:00,2023-01-03 08:00,491330.492
2023-01-03 08:00,2023-01-03 09:00,473675.627
2023-01-03 09:00,2023-01-03 10:00,466831.300
2023-01-03 10:00,2023-01-03 11:00,435129.345
2023-01-03 11:00,2023-01-03 12:00,415433.157
2023-01-03 12:00,2023-01-03 13:00,386084.367
2023-01-03 13:00,2023-01-03 14:00,360285.127
2023-01-03 14:00,2023-01-03 15:00,324849.937
2023-01-03 15:00,2023-01-03 16:00,292676.505
2023-01-03 16:00,2023-01-03 17:00,270003.885
2023-01-03 17:00,2023-01-03 18:00,262804.847
2023-01-03 18:00,2023-01-03 19:00,255401.267
2023-01-03 19:00,2023-01-03 20:00,236193.584
2023-01-03 20:00,2023-01-03 21:00,235161.974
2023-01-03 21:00,2023-01-03 22:00,258641.721
2023-01-03 22:00,2023-01-03 23:00,293974.552
2023-01-03 23:00,2023-01-04 00:00,342077.738
2023-01-04 00:00,2023-01-04 01:00,382149.938
2023-01-04 01:00,2023-01-04 02:00,392376.760
2023-01-04 02:00,2023-01-04 03:00,414240.349
2023-01-04 03:00,2023-01-04 04:00,451769.001
2023-01-04 04:00,2023-01-04 05:00,509223.681
2023-01-04 05:00,2023-01-04 06:00,552867.663
2023-01-04 06:00,2023-01-04 07:00,565079.583
2023-01-04 07:00,2023-01-04 08:00,581039.184
2023-01-04 08:00,2023-01-04 09:00,584716.023
2023-01-04 09:00,2023-01-04 10:00,583788.356
2023-01-04 10:00,2023-01-04 11:00,583137.320
2023-01-04 11:00,2023-01-04 12:00,590676.342
2023-01-04 12:00,2023-01-04 13:00,593697.506
2023-01-04 13:00,2023-01-04 14:00,589450.343
2023-01-04 14:00,2023-01-04 15:00,581506.722
2023-01-04 15:00,2023-01-04 16:00,578761.417
2023-01-04 16:00,2023-01-04 17:00,575601.987
2023-01-04 17:00,2023-01-04 18:00,561335.083
2023-01-04 18:00,2023-01-04 19:00,557250.207
2023-01-04 19:00,2023-01-04 20:00,563096.806
2023-01-04 20:00,2023-01-04 21:00,567606.732
2023-01-04 21:00,2023-01-04 22:00,574649.701
2023-01-04 22:00,2023-01-04 23:00,584482.898
2023-01-04 23:00,2023-01-05 00:00,585885.215
2023-01-05 00:00,2023-01-05 01:00,587561.066
2023-01-05 01:00,2023-01-05 02:00,586557.245
2023-01-05 02:00,2023-01-05 03:00,589793.851
2023-01-05 03:00,2023-01-05 04:00,595690.172
2023-01-05 04:00,2023-01-05 05:00,597774.271
2023-01-05 05:00,2023-01-05 06:00,597524.655
2023-01-05 06:00,2023-01-05 07:00,596627.408
2023-01-05 07:00,2023-01-05 08:00,593895.816
2023-01-05 08:00,2023-01-05 09:00,592865.146
2023-01-05 09:00,2023-01-05 10:00,590085.527
2023-01-05 10:00,2023-01-05 11:00,579382.665
2023-01-05 11:00,2023-01-05 12:00,550988.498
2023-01-05 12:00,2023-01-05 13:00,501900.655
2023-01-05 13:00,2023-01-05 14:00,413178.379
2023-01-05 14:00,2023-01-05 15:00,298566.625
2023-01-05 15:00,2023-01-05 16:00,230683.107
2023-01-05 16:00,2023-01-05 17:00,169033.470
2023-01-05 17:00,2023-01-05 18:00,119191.631
2023-01-05 18:00,2023-01-05 19:00,89445.598
2023-01-05 19:00,2023-01-05 20:00,80930.510
2023-01-05 20:00,2023-01-05 21:00,87579.298
2023-01-05 21:00,2023-01-05 22:00,97981.572
2023-01-05 22:00,2023-01-05 23:00,129941.990
2023-01-05 23:00,2023-01-06 00:00,177747.950
2023-01-06 00:00,2023-01-06 01:00,246095.900
2023-01-06 01:00,2023-01-06 02:00,322481.084
2023-01-06 02:00,2023-01-06 03:00,401417.171
2023-01-06 03:00,2023-01-06 04:00,470147.326
2023-01-06 04:00,2023-01-06 05:00,525112.654
2023-01-06 05:00,2023-01-06 06:00,561337.237
2023-01-06 06:00,2023-01-06 07:00,579115.252
2023-01-06 07:00,2023-01-06 08:00,587536.557
2023-01-06 08:00,2023-01-06 09:00,589575.270
2023-01-06 09:00,2023-01-06 10:00,585620.434
2023-01-06 10:00,2023-01-06 11:00,574937.960
2023-01-06 11:00,2023-01-06 12:00,539913.189
2023-01-06 12:00,2023-01-06 13:00,470772.258
2023-01-06 13:00,2023-01-06 14:00,451521.939
2023-01-06 14:00,2023-01-06 15:00,555981.048
2023-01-06 15:00,2023-01-06 16:00,569601.384
2023-01-06 16:00,2023-01-06 17:00,550527.875
2023-01-06 17:00,2023-01-06 18:00,521301.841
2023-01-06 18:00,2023-01-06 19:00,497818.386
2023-01-06 19:00,2023-01-06 20:00,483116.428
2023-01-06 20:00,2023-01-06 21:00,465554.857
2023-01-06 21:00,2023-01-06 22:00,437407.705
2023-01-06 22:00,2023-01-06 23:00,399563.431
2023-01-06 23:00,2023-01-07 00:00,357049.267
2023-01-07 00:00,2023-01-07 01:00,303824.799
2023-01-07 01:00,2023-01-07 02:00,244118.100
2023-01-07 02:00,2023-01-07 03:00,192554.212
2023-01-07 03:00,2023-01-07 04:00,166221.153
2023-01-07 04:00,2023-01-07 05:00,172703.230
2023-01-07 05:00,2023-01-07 06:00,199389.315
2023-01-07 06:00,2023-01-07 07:00,230824.090
2023-01-07 07:00,2023-01-07 08:00,272159.278
2023-01-07 08:00,2023-01-07 09:00,310705.481
2023-01-07 09:00,2023-01-07 10:00,340790.086
